id,algorithm,interswap,seed,model,p,num_modes,theta,rho,bf,filename,t1,tf,num_temp,gibbs_step,tot_sim,burn_in,iterations,total_swap,direction,comments,Servers comments,count swaps,comments,other comments
46,PT_A_IIT,200,46,bimodal,5000,,3,,sq,,1,,20,,,,,,-1,,,,"10 Cores, 2Gb ram, 36hr, TIMEOUT",45k swaps
47,PT_A_IIT,200,47,bimodal,5000,,3,,sq,,1,,20,,,,,,-1,,,,"10 Cores, 2Gb ram, 36hr, TIMEOUT",45k swaps
48,PT_A_IIT,200,48,bimodal,6000,,3,,sq,,1,,20,,,,,,-1,,,,"10 Cores, 2Gb ram, 36hr, TIMEOUT",31k swaps
49,PT_A_IIT,200,49,bimodal,6000,,3,,sq,,1,,20,,,,,,-1,,,,"10 Cores, 2Gb ram, 36hr, TIMEOUT",32k swaps
50,PT_A_IIT,200,50,bimodal,7000,,3,,sq,,1,,20,,,,,,-1,,,,"10 Cores, 2Gb ram, 36hr, TIMEOUT",23k swaps
51,PT_A_IIT,200,51,bimodal,7000,,3,,sq,,1,,20,,,,,,-1,,,,"10 Cores, 2Gb ram, 36hr, TIMEOUT",20k swaps
52,PT_A_IIT,200,52,bimodal,8000,,3,,sq,,1,,20,,,,,,-1,,,,"10 Cores, 2Gb ram, 36hr, TIMEOUT",15k swaps
53,PT_A_IIT,200,53,bimodal,8000,,3,,sq,,1,,20,,,,,,-1,,,,"10 Cores, 2Gb ram, 36hr, TIMEOUT",12k swaps
54,PT_A_IIT,400,54,bimodal,9000,,3,,sq,,1,,10,,,,,,-1,,Results in Probability,,"10 Cores, 2Gb ram, 36hr, TIMEOUT",6.5k swaps
55,PT_A_IIT,400,55,bimodal,9000,,3,,sq,,1,,10,,,,,,-1,,Results in Probability,,"10 Cores, 2Gb ram, 36hr, TIMEOUT",7k swaps
56,PT_A_IIT,400,56,bimodal,10000,,3,,sq,,1,,10,,,,,,-1,,Results in Probability,,"10 Cores, 2Gb ram, 36hr, TIMEOUT",6k swaps
57,PT_A_IIT,400,57,bimodal,10000,,3,,sq,,1,,10,,,,,,-1,,Results in Probability,,,
58,PT_A_IIT,400,58,bimodal,16,,3,,sq,,1,,3,8,,,,,-1,,,,,
59,PT_IIT_Z,100,59,bimodal,16,,3,,sq,,1,,3,8,,,,,-1,,,,,
60,PT_IIT_Z,50,60,bimodal,2000,,3,,sq,,1,,5,200,,,,,-1,,,,,
61,PT_A_IIT,100,61,bimodal,1000,,3,,sq,,1,,7,,,,,,1,,Results in Probability,,,
62,PT_A_IIT,100,62,bimodal,1000,,3,,sq,,1,,7,,,,,,1,,Results in Probability,,,
63,PT_A_IIT,100,63,bimodal,2000,,3,,sq,,1,,7,,,,,,1,,Results in Probability,,,
64,PT_A_IIT,100,64,bimodal,2000,,3,,sq,,1,,7,,,,,,1,,Results in Probability,,,
65,PT_IIT_Z,50,65,bimodal,1000,,3,,sq,,1,,7,100,,,,,1,,,,,
66,PT_IIT_Z,50,66,bimodal,1000,,3,,sq,,1,,7,100,,,,,1,,,,,
67,PT_IIT_Z,50,667,bimodal,2000,,3,,sq,,1,,3,200,,,,,1,,,,,
68,PT_IIT_Z,50,68,bimodal,2000,,3,,sq,,1,,3,200,,,,,1,,,,,
69,PT_A_IIT,300,69,bimodal,1000,,3,,sq,,1,,5,,,,,,1,,,,,
70,PT_A_IIT,300,70,bimodal,1000,,3,,sq,,1,,5,,,,,,1,,,,,
71,PT_A_IIT,500,71,bimodal,2000,,3,,sq,,1,,5,,,,,,1,,,,,
72,PT_A_IIT,500,72,bimodal,2000,,3,,sq,,1,,5,,,,,,1,,,,,
73,PT_A_IIT,300,73,bimodal,1000,,3,,sq,,1,,4,,4,10000,,500,-1,,,,,
74,PT_IIT_Z,100,74,bimodal,1000,,3,,sq,,1,,4,,4,2000,11000,,-1,,,,,
75,PT_A_IIT,300,75,bimodal,3000,,3,,sq,,1.6,,4,,4,10000,,550,-1,,Results in Probability,,,
76,PT_IIT_Z,100,7676,bimodal,3000,,3,,sq,,1.6,,4,,4,5000,11000,,-1,,Running in Probability,,,
77,PT_A_IIT,350,77,bimodal,4000,,3,,sq,,1.6,,3,,4,10000,,350,-1,,,,,
78,PT_IIT_Z,50,78,multimodal,1000,5,3,,sq,,1,,4,,2,1000,2000,,-1,,,,,
79,PT_A_IIT,300,79,multimodal,1000,5,3,,sq,,1,,4,,2,10000,,350,-1,,,,,
80,PT_A_IIT,300,80,multimodal,1000,5,3,,sq,,1,,5,,5,10000,,300,-1,,,,,
81,PT_A_IIT,300,81,multimodal,1000,7,3,,sq,,1,,5,,5,10000,,300,-1,,,,,
82,PT_A_IIT,300,82,bimodal,1000,2,3,,sq,,1,,5,,5,10000,,300,-1,,,,,
83,PT_IIT_Z,100,83,multimodal,1000,5,3,,sq,,1,,5,,4,2000,13000,,-1,,,,,
84,PT_IIT_Z,100,84,multimodal,1000,7,3,,sq,,1,,5,,4,2000,13000,,-1,,,,,
85,PT_IIT_Z,100,85,bimodal,1000,2,3,,sq,,1,,5,,4,2000,13000,,-1,,,,,
86,PT_A_IIT,300,86,multimodal,1000,5,3,,sq,,1,,5,,5,10000,,300,-1,,,,,
87,PT_A_IIT,300,87,multimodal,1000,7,3,,sq,,1,,5,,5,10000,,300,-1,,,,,
88,PT_A_IIT,300,88,bimodal,1000,2,3,,sq,,1,,5,,5,10000,,300,-1,,,,,
89,PT_IIT_Z,100,89,multimodal,1000,5,3,,sq,,1,,5,,4,2000,13000,,-1,,,,,
90,PT_IIT_Z,100,90,multimodal,1000,7,3,,sq,,1,,5,,4,2000,13000,,-1,,,,,
91,PT_IIT_Z,100,91,bimodal,1000,2,3,,sq,,1,,5,,4,2000,13000,,-1,,,,,
92,PT_A_IIT,300,92,multimodal,1000,7,0.1,-2.5,sq,,50,,5,,4,10000,,300,-1,,,,,
93,PT_A_IIT,300,93,multimodal,1000,7,0.1,-2.5,sq,,38.2687105788439,,5,,4,10000,,300,-1,,,,,
94,PT_A_IIT,300,94,multimodal,1000,7,0.1,-2.5,sq,,31.0814837265323,,5,,4,10000,,300,-1,,,,,
95,PT_A_IIT,300,95,multimodal,1000,7,0.1,-2.5,sq,,25.6570426318098,,6,,4,10000,,300,-1,,,,,
96,PT_IIT_Z,100,96,multimodal,1000,7,0.1,-2.5,sq,,50,,6,,4,2000,13000,,-1,,,,,
97,PT_IIT_Z,100,97,multimodal,1000,5,0.1,-2.5,sq,,40,,6,,4,2000,13000,,-1,,,,,
98,PT_IIT_Z,100,98,bimodal,1000,2,0.1,-2.5,sq,,30,,6,,4,2000,13000,,-1,,,,,
99,PT_A_IIT,300,99,multimodal,1000,7,0.1,-2.5,sq,,50,,6,,4,10000,,300,-1,,,,,
100,PT_A_IIT,300,100,multimodal,1000,5,0.1,-2.5,sq,,40,,6,,4,10000,,300,-1,,,,,
